Customer_ID,Recency,Complain,NumWebPurchases,NumStorePurchases,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds
1826,0,0,4,6,189,104,379,111,189,218
1,0,0,7,7,464,5,64,7,0,37
10476,0,0,3,5,134,11,59,15,2,30
1386,0,0,1,2,10,0,1,0,0,0
5371,0,0,3,2,6,16,24,11,0,34
7348,0,0,4,5,336,130,411,240,32,43
4073,0,0,10,7,769,80,252,15,34,65
1991,0,0,2,3,78,0,11,0,0,7
4047,0,0,6,9,384,0,102,21,32,5
9477,0,0,6,9,384,0,102,21,32,5
2079,0,0,5,10,450,26,535,73,98,26
5642,0,0,3,6,140,4,61,0,13,4
10530,0,0,3,6,431,82,441,80,20,102
2964,0,0,1,2,3,10,8,3,16,32
10311,0,0,25,0,16,4,12,2,4,321
837,0,0,2,5,63,6,57,13,13,22
10521,0,0,2,5,63,6,57,13,13,22
10175,0,0,1,3,18,0,2,0,0,2
1473,0,0,2,3,53,1,5,2,1,10
2795,0,0,1,2,5,0,3,0,0,5
2285,0,0,5,5,213,9,76,4,3,30
115,0,0,5,8,275,11,68,25,7,7
10470,0,0,2,3,40,2,23,0,4,23
4065,0,0,5,8,308,0,73,0,0,23
10968,0,0,8,6,266,21,300,65,8,44
5985,0,0,2,4,80,1,37,0,1,3
5430,0,0,9,8,454,0,171,8,19,32
8432,0,0,9,8,454,0,171,8,19,32
453,1,0,2,3,27,0,12,0,1,5
9687,1,0,5,6,184,174,256,50,30,32
8890,1,0,5,5,155,7,80,13,7,10
9264,1,0,4,9,423,42,706,73,197,197
5824,1,0,1,2,7,0,1,0,0,0
5794,1,0,7,7,408,0,21,0,0,17
3068,1,0,2,3,1,12,9,0,14,7
7962,1,0,4,4,1285,21,449,106,20,20
2681,1,0,2,13,71,22,112,138,89,29
10141,1,0,0,3,7,1,6,0,3,3
3725,1,0,2,9,1248,16,349,43,16,16
3767,1,0,5,12,378,0,189,97,172,172
5585,1,0,2,3,12,2,17,6,1,10
7030,1,0,11,12,1200,0,204,38,29,14
1524,1,0,8,5,709,45,115,30,160,45
3657,1,0,4,4,94,1,33,13,12,12
5740,1,0,1,2,4,2,12,7,5,26
9595,1,0,4,4,539,169,816,20,0,30
3158,1,0,1,3,13,3,6,6,5,6
5114,1,0,5,5,670,9,249,0,28,9
340,1,0,7,8,158,35,179,0,0,125
8805,1,0,7,4,283,10,38,0,13,27
1241,1,0,1,3,13,3,8,7,4,16
1402,1,0,4,6,496,36,460,189,60,12
7264,2,0,1,2,12,0,4,0,0,1
1619,2,0,4,6,292,51,981,224,23,17
6398,2,0,3,3,7,10,13,16,0,4
1857,2,0,2,2,46,0,12,0,2,23
4877,2,0,1,3,34,0,7,0,0,0
3066,2,0,4,4,167,0,43,6,2,13
10286,2,0,2,13,318,8,407,150,35,8
1992,2,0,2,8,522,0,257,32,16,66
4246,2,0,1,1,67,11,26,4,3,262
10623,2,0,1,3,28,0,4,0,0,0
4867,2,0,3,4,58,0,18,2,0,10
3112,2,0,1,3,2,4,9,0,4,5
4865,2,0,5,8,229,7,140,10,3,11
6287,2,0,1,2,14,0,16,0,0,6
4405,2,0,6,12,622,7,115,30,0,15
5332,2,0,3,7,362,50,431,134,35,54
1519,2,0,3,3,38,4,22,3,3,3
9080,2,0,3,3,38,4,22,3,3,3
1772,2,0,5,7,1074,37,518,193,92,129
5341,2,0,6,4,983,76,184,180,138,27
5510,2,0,5,6,262,6,61,0,10,102
3887,2,0,2,3,3,17,26,20,1,39
7022,2,0,2,13,739,107,309,140,80,35
9999,2,0,9,9,610,105,125,137,42,21
10352,2,0,3,2,50,4,28,6,3,26
7919,2,0,10,8,1285,105,653,28,21,0
4114,2,0,6,13,650,37,780,27,167,32
7990,2,0,0,3,9,1,2,3,2,0
9888,3,0,4,7,458,81,356,106,50,40
4399,3,0,4,7,458,81,356,106,50,40
4452,3,0,6,6,292,6,37,0,3,34
4785,3,0,6,11,520,7,154,19,0,14
8461,3,0,1,2,14,0,1,0,0,1
3878,3,0,1,3,3,4,7,15,8,11
9612,3,0,1,3,1,8,6,4,8,16
4098,3,0,2,4,20,3,16,0,4,1
158,3,0,8,5,345,53,528,98,75,97
3896,3,0,1,3,22,1,11,0,1,2
9970,3,0,1,6,42,11,57,10,28,14
4002,3,0,7,12,463,96,333,168,53,10
10914,3,0,1,3,4,1,7,2,1,2
7279,3,0,4,4,260,86,559,63,9,67
10582,3,0,5,12,180,32,348,76,32,90
4470,3,0,2,4,62,1,44,6,5,22
6183,3,0,2,4,62,1,44,6,5,22
6379,3,0,2,2,67,1,20,0,2,31
8601,3,0,8,5,421,76,536,82,178,102
4827,3,0,4,9,154,22,202,39,30,8
6715,3,0,6,11,502,19,132,0,6,26
10676,3,0,3,7,145,193,459,205,26,145
1041,3,0,7,6,322,3,50,4,3,42
492,3,0,7,6,322,3,50,4,3,42
11133,3,0,7,6,322,3,50,4,3,42
4491,3,0,3,10,1099,0,45,0,0,34
873,3,0,3,10,1099,0,45,0,0,34
1631,3,0,8,7,890,63,292,0,25,12
8278,3,0,8,5,863,83,547,86,99,33
6815,4,0,7,8,448,21,125,52,101,62
254,4,0,7,7,399,4,30,6,4,30
1349,4,0,3,3,85,7,24,2,3,27
2534,4,0,4,3,97,1,41,6,2,41
2130,4,0,3,3,35,3,67,10,8,24
2296,4,0,1,2,3,2,11,2,2,10
3799,4,0,7,11,315,35,322,46,7,143
11084,4,0,3,7,738,0,232,13,20,50
5172,4,0,3,7,738,0,232,13,20,50
9504,4,0,3,13,179,28,520,111,123,47
850,4,0,6,9,381,28,215,84,28,21
4477,4,0,5,10,247,49,159,7,82,109
1945,4,0,7,7,711,36,217,172,96,168
7685,4,0,2,4,30,8,12,8,8,12
6310,4,0,2,4,30,8,12,8,8,12
10832,4,0,6,6,288,10,30,4,10,125
3025,4,0,6,5,212,6,69,4,12,3
2404,4,0,5,4,173,4,30,3,6,41
8581,4,0,10,8,604,0,100,19,0,28
8755,4,0,3,9,482,34,471,119,68,22
10177,4,0,5,8,531,69,300,150,138,150
2429,4,0,5,8,531,69,300,150,138,150
8920,4,0,11,12,448,40,469,80,0,91
8430,4,0,0,3,9,0,6,3,1,3
8619,4,0,0,3,9,0,6,3,1,3
8996,4,0,7,8,230,42,192,49,37,53
7233,4,0,5,6,496,32,849,229,48,128
6678,5,0,3,4,33,4,24,4,2,5
830,5,0,4,4,784,48,560,42,176,48
6365,5,0,2,3,10,12,12,25,1,20
6770,5,0,2,2,5,13,14,0,5,31
2261,5,0,1,2,4,1,5,2,0,4
1031,5,0,6,10,600,20,350,29,30,33
10089,5,0,6,13,168,148,444,32,172,148
9256,5,0,8,12,493,26,206,116,80,80
10641,5,0,2,3,6,5,4,13,4,25
624,5,0,0,2,6,4,1,7,2,15
4211,5,0,2,3,4,12,5,3,16,17
1407,5,0,2,3,4,12,5,3,16,17
10356,5,0,1,3,29,0,2,0,0,1
9323,5,0,10,7,520,8,223,32,49,42
1146,5,0,10,7,520,8,223,32,49,42
6343,6,0,6,7,835,73,380,114,73,43
8545,6,0,2,10,1296,17,311,45,69,51
8275,6,0,1,2,16,0,3,0,0,1
10673,6,0,6,5,760,80,466,17,13,80
8799,6,0,3,4,70,6,69,2,3,3
67,6,0,2,4,68,0,16,0,0,8
9923,6,0,2,4,68,0,16,0,0,8
2814,6,0,1,3,9,1,5,4,5,7
2711,6,0,1,3,9,1,5,4,5,7
4320,6,0,6,12,325,83,300,86,58,91
10451,6,0,0,3,9,1,3,0,4,8
4198,6,0,0,3,9,1,3,0,4,8
10814,6,0,6,13,303,23,751,82,26,191
944,6,0,4,7,121,103,69,8,44,48
8151,6,0,4,3,16,36,21,20,62,108
6184,6,0,3,8,561,64,785,84,128,48
3498,6,0,7,9,462,61,184,10,53,107
2870,6,0,6,6,376,0,38,11,8,69
7342,6,0,6,12,341,142,113,259,151,66
1911,6,0,11,12,595,97,291,127,133,121
10862,6,0,1,9,179,8,83,19,11,26
2546,7,0,1,4,23,4,5,10,5,23
3005,7,0,4,8,530,117,678,134,44,147
8318,7,0,5,8,594,134,786,33,134,57
2930,7,0,2,10,852,60,207,78,36,48
8216,7,0,4,3,158,0,76,13,7,71
1212,7,0,8,6,384,25,292,130,41,64
2541,7,0,2,3,14,7,11,11,0,5
10659,7,0,3,2,2,8,11,3,8,21
10905,7,0,4,6,194,2,56,0,0,0
8910,7,0,4,6,194,2,56,0,0,0
7349,7,0,3,3,6,17,16,6,16,42
7872,7,0,6,6,179,21,273,0,21,63
4290,8,0,1,2,1,3,8,2,5,5
7408,8,0,5,4,216,2,6,0,0,9
9986,8,0,4,2,16,0,23,3,2,10
8235,8,0,6,10,428,30,214,80,30,61
10949,8,0,5,8,1092,37,592,145,37,55
7284,8,0,1,2,10,0,7,2,0,1
9529,8,0,3,9,559,153,503,218,13,181
9930,8,0,6,13,606,148,228,15,148,22
10270,8,0,3,3,11,5,22,12,5,11
760,8,0,8,9,588,7,76,110,15,15
5519,8,0,6,4,316,58,161,76,51,135
232,8,0,4,10,279,83,88,32,14,34
3009,8,0,5,6,1462,16,128,0,0,160
6518,8,0,7,8,546,0,48,0,6,6
10669,8,0,3,10,277,21,64,62,21,25
5682,8,0,6,11,948,10,86,13,21,21
1570,8,0,7,10,664,9,240,50,19,57
1497,8,0,6,5,268,11,88,15,3,22
9723,8,0,7,13,530,142,217,62,9,56
7261,8,0,5,5,199,33,60,8,3,15
2452,8,0,5,5,199,33,60,8,3,15
5621,8,0,6,5,73,57,100,71,15,0
10995,8,1,3,4,16,5,30,8,7,26
7373,8,0,4,6,96,12,96,33,22,43
5331,8,0,3,7,587,51,898,247,0,86
263,9,0,3,3,56,19,29,2,14,25
4619,9,0,27,0,6,2,3,1,262,3
940,9,0,3,7,158,11,99,15,11,17
10084,9,0,2,2,3,2,8,20,0,17
6019,9,0,1,2,45,3,9,4,4,7
1463,9,0,1,2,8,2,5,3,0,3
6424,9,0,1,3,12,6,2,11,2,16
8233,9,0,7,7,508,5,21,7,5,10
1515,9,0,1,3,11,2,7,4,2,2
10855,9,0,4,8,234,14,77,19,10,42
10909,9,0,5,5,992,24,694,51,19,119
3376,9,0,3,6,125,6,73,8,4,19
10232,9,0,3,7,174,18,81,28,6,24
5547,9,0,7,6,1478,19,403,0,19,0
8362,9,0,7,6,1478,19,403,0,19,0
3524,9,0,5,2,80,1,60,4,6,16
10095,9,0,5,10,1001,12,240,16,12,12
8897,9,0,7,7,392,5,91,28,26,112
466,9,0,4,13,388,14,218,91,14,21
11025,9,0,3,3,65,0,46,4,3,20
2387,9,0,5,4,177,2,71,3,2,20
1618,9,0,10,8,577,0,64,0,0,51
25,9,0,6,7,460,35,422,33,12,153
3277,9,0,7,5,219,3,100,26,0,17
8566,10,0,1,2,5,0,3,0,0,1
2634,10,0,2,3,5,7,31,15,4,7
8036,10,0,2,4,31,1,13,7,2,9
8159,10,0,4,3,117,0,22,13,0,30
7628,10,0,2,4,30,5,24,6,3,8
9597,10,0,7,9,236,106,189,23,41,130
1384,10,0,2,2,6,4,14,8,8,22
10150,10,0,7,7,464,28,873,29,18,37
